,Homo,Pan,Musa,Zea,Ficus,Arachis,Citrus,Cannabis,Corchorus,Population
141,3055.0,151.0,135,12,0,13,999,0,0,Human
142,1909.0,0.0,62,2,0,4,1377,0,0,Human
143,2752.0,0.0,0,1,0,9,1207,0,0,Human
144,3431.0,0.0,41,149,0,2,1152,0,0,Human
145,1162.0,0.0,859,39,0,4,469,0,0,Human
146,6977.0,0.0,1828,46,0,6,477,0,0,Human
147,9238.0,0.0,630,17,0,8,817,0,0,Human
148,13761.0,0.0,695,56,0,8,1883,0,0,Human
149,45539.0,0.0,485,1,0,52,747,5965,0,Human
150,9242.0,110.0,8,35,12,18,944,0,0,Human
151,41299.0,100.0,0,29,0,1455,1708,0,0,Human
152,8012.0,266.0,13622,3,0,2,1180,0,0,Human
153,3684.0,98.0,1,23,0,2,1359,0,0,Human
154,1667.0,0.0,3118,41,1,24,573,0,0,Human
155,2673.0,0.0,2040,70,0,7,1545,0,0,Human
156,5509.0,0.0,399,15,0,1,856,0,0,Human
157,4857.0,0.0,14039,51,0,14,1469,0,0,Human
158,5223.0,0.0,1,15,0,1,684,0,0,Human
159,12898.0,61.0,0,10,7,26,656,4237,0,Human
160,2695.0,0.0,2,1,0,0,760,0,0,Human
161,2306.0,0.0,64,2,0,15,1294,0,0,Human
162,56156.0,777.0,42,0,0,14,3635,0,0,Human
163,6056.0,150.0,0,22,0,1,678,0,0,Human
164,4235.0,121.0,0,20,0,14,1951,0,0,Human
165,2224.0,0.0,0,34,1,179,499,0,0,Human
166,11909.0,0.0,0,139,0,5,1563,0,0,Human
167,2490.0,0.0,119,1,0,2,422,0,0,Human
168,2788.0,0.0,0,10,0,73,1150,0,0,Human
169,6017.0,0.0,0,7,0,6,1189,0,0,Human
170,6313.0,133.0,827,12,1,2,1538,0,0,Human
171,2541.0,0.0,0,6,0,1,474,0,0,Human
172,1175.0,0.0,0,7,0,2,1136,0,0,Human
173,5121.0,125.0,327,24,0,2,1732,0,0,Human
174,6373.0,0.0,245,23,0,1,964,0,0,Human
175,1662.0,0.0,0,0,203,7,635,4635,0,Human
176,7039.0,122.0,1468,19,0,8,1606,0,0,Human
177,1714.0,0.0,571,44,1,2,810,0,0,Human
178,4598.0,0.0,23,23,0,1,2201,0,0,Human
179,4197.0,178.0,128,53,0,5,1250,0,0,Human
180,7394.0,0.0,1,15,0,4,778,0,0,Human
181,392.0,0.0,1161,14,0,1,534,0,0,Human
182,1175.0,0.0,2,8,0,3,827,0,0,Human
183,3841.0,0.0,0,78,0,3,572,0,0,Human
184,16681.0,0.0,2819,154,0,0,1959,0,0,Human
185,3147.0,0.0,2,16,0,0,1626,0,0,Human
186,1185.0,0.0,0,5,0,1,950,0,0,Human
187,13903.0,0.0,47,56,2,1,1498,0,0,Human
188,3601.0,0.0,152,2,0,2,734,0,0,Human
189,5405.0,0.0,18,6,1,2,518,0,0,Human
190,510.0,0.0,244,4,0,23,510,0,0,Human
191,6478.0,0.0,508,14,0,6,848,0,0,Human
192,6148.0,0.0,15,118,0,4,1450,0,0,Human
193,8736.0,0.0,0,512,0,785,1366,0,0,Human
194,6191.0,0.0,0,125,0,336,2185,0,0,Human
195,3801.0,225.0,75,101,0,13,2098,0,0,Human
196,4079.0,137.0,0,193,0,5,732,0,0,Human
197,2264.0,0.0,51,951,0,19,371,0,0,Human
198,2774.0,0.0,0,292,0,9,750,0,0,Human
199,6100.0,0.0,147,1,0,0,1662,0,0,Human
200,597.0,0.0,0,4,0,4,1033,0,0,Human
201,5545.0,150.0,65,7,1,2,727,0,0,Human
202,944.0,0.0,119,0,0,0,1579,0,0,Human
203,1002.0,0.0,82,10,0,0,482,0,0,Human
204,3567.0,120.0,101,3,0,29,934,0,0,Human
205,14846.0,0.0,42,18,0,3,1222,0,0,Human
206,8769.0,177.0,2067,6,2,0,1292,0,0,Human
207,7653.0,0.0,0,22,0,20,1556,0,0,Human
208,3076.0,0.0,253,21,0,0,928,0,0,Human
209,1658.0,0.0,110,22,0,2,839,0,0,Human
210,3847.0,0.0,900,69,0,81,1305,6194,0,Human
211,364794.0,409.0,2717,58,0,11,1018,10056,0,Human
212,19660.0,193.0,1,16,1,34,1569,7423,0,Human
213,46578.0,130.0,8107,24,1,22,1013,6873,0,Human
214,1054.0,131.0,11,1,0,12,737,0,0,Human
215,4889.0,200.0,271,56,0,11,1018,0,0,Human
216,1280.0,0.0,0,5,0,2,988,0,0,Human
217,2122.0,0.0,2,4,0,1,785,0,0,Human
218,880.0,0.0,5017,20,0,11,908,0,0,Human
219,1563.0,0.0,3,4,0,8,563,6800,0,Human
220,2929.0,0.0,6,1,0,2,713,0,0,Human
221,969.0,0.0,44,1,3,0,802,0,0,Human
222,971.0,0.0,0,20,1,3,746,0,0,Human
223,8218.0,0.0,6422,68,1,2,1148,0,0,Human
224,3851.0,0.0,184,5,0,23,839,0,0,Human
225,492.0,0.0,0,1,1,2,962,6469,0,Human
226,860.0,137.0,0,40,0,0,1239,0,0,Human
227,1282.0,0.0,0,0,0,2,868,0,0,Human
228,1136.0,0.0,418,0,2,1,812,0,0,Human
229,861.0,0.0,0,1,2,6,649,0,0,Human
230,2993.0,0.0,77,0,0,1,925,0,0,Human
231,1414.0,0.0,10,0,0,6,9,0,0,Human
232,539.0,107.0,1,16,3,0,770,0,0,Human
233,2500.0,0.0,56,3,0,3,847,6678,0,Human
234,5300.0,0.0,0,31,0,3,559,0,0,Human
235,1391.0,0.0,0,1,0,0,600,0,0,Human
236,10193.0,0.0,594,8,0,8,792,0,0,Human
237,1072.0,0.0,3,10,0,2,979,0,0,Human
238,1943.0,0.0,0,0,1,6,865,0,0,Human
239,2281.0,0.0,37,1,0,9,645,0,0,Human
240,21724.0,0.0,1515,82,0,4,888,0,0,Human
241,4423.0,0.0,99,19,0,18,1280,0,0,Human
